amenities,quantity
"""fast wifi \u2013 91 mbps""",1
"""towngas gas stove""",1
"""davines body soap""",1
"""town gas oven""",1
"""davines shampoo""",1
[],1
"""washer \u2013\u00a0in building""",1
"""private pool - available all year",1
"""43\"" hdtv with netflix",1
"""aeg stainless steel induction stove""",1
"""room-darkening shades""]",1
"""55\"" hdtv with standard cable""",1
"""shared outdoor pool - heated""]",1
"""tv with fire tv",1
"[""iron""",1
"""\u9ad8\u8eab refrigerator""",1
"[""dishwasher""",1
"""microwave""]",1
"""onkio hifi  sound system with aux""",1
"""soap and body wash  body soap""",1
"""dove or similar  body soap""",1
"""white westinhouse refrigerator""",1
"""a brand new shampoo and conditioner will  be provided for stay with 30 days and  more. shampoo""]",1
"""dole body soap""",1
"""32\"" hdtv with chromecast""",1
"""29\"" tv""",1
"""\u5176\u4ed6 electric stove""",1
"""55\"" tv with disney+",1
"""pansonic refrigerator""",1
"""le petit marseillais body soap""",1
"""50\"" hdtv with standard cable",1
"""german  pool induction stove""",1
"""smart lock""]",1
"""shared gym in building""]",1
"[""paid parking off premises""",1
"""cambridge bluetooth sound system""",1
"""exercise equipment: stationary bike",1
"[""free driveway parking on premises""",1
"""private beach access \u2013 beachfront""",1
"""panasonic induction stove""",1
"""electrolux oven""",1
"""44\"" hdtv with amazon prime video",1
"""portable heater""]",1
"""31\"" hdtv with standard cable""",1
"[""single  induction stove""",1
"""table top oven""",1
"""5.1 surround sound bluetooth sound system""",1
"""tv with apple tv",1
"[""concierge""",1
"""bed sheets and pillows""",1
"""laundry services""",1
"""breakfast buffet available \u2014 $295 per person per day""",1
"""bottled water""",1
"""42\"" hdtv with apple tv",1
"""complimentary self parking""",1
"""minibar""",1
"""bathrobes""",1
"""nespresso machine""",1
"""room service""",1
"""bluetooth speaker""",1
"""heated pool with poolside bar \u2014 outdoor""",1
"""fitness center""",1
"""limited housekeeping \u2014 weekly""",1
"""complimentary valet parking""",1
"""toiletries""",1
"""onsite restaurant \u2014 above & beyond""",1
"""slippers""",1
"""free wifi""]",1
"""the best body soap""",1
"""kenwood stainless steel oven""",1
"""the best shampoo""",1
"""43\"" tv with netflix""",1
"""the best conditioner""",1
"""sansung refrigerator""",1
"""hot water""]",1
"""ritual body soap""",1
"""ritual conditioner""",1
"""toshiba stainless steel oven""",1
"""49\"" hdtv with disney+",1
"""65\"" tv""",1
"""exercise equipment: elliptical""",1
"""smeg stainless steel oven""",1
"""smeg - 5 burner stainless steel gas stove""",1
"""fast wifi \u2013 227 mbps""",1
"""simpa stainless steel gas stove""",1
"""42\"" hdtv with hbo max",1
"""pacific stove""",1
"""philco refrigerator""",1
"[""tv with apple tv",1
"[""49\"" tv""",1
"""bed  head tigi shampoo""",1
"""phill smith be gourgeous conditioner""",1
"""elemis  body soap""",1
"""lg refrigerator""]",1
treadmill,1
"""local brand conditioner""",1
"""wifi \u2013 14 mbps""",1
"""50\"" tv with disney+",1
"""clothing storage: dresser and walk-in closet""",1
"""random brand body soap""",1
"""random conditioner""",1
