id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication
2989907,https://www.airbnb.com/rooms/2989907,,Central & Western,22.27839,114.15166,1,$180.00,5.0,5.0,5.0,5.0,5.0
2990012,https://www.airbnb.com/rooms/2990012,,Central & Western,22.28392,114.1487,1,$180.00,,,,,
4696858,https://www.airbnb.com/rooms/4696858,"Austin, Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.306791305541992,114.16658782958984,1,$480.00,4.79,4.8,4.84,4.88,4.94
4702937,https://www.airbnb.com/rooms/4702937,,Central & Western,22.28721,114.14435,1,$130.00,,,,,
4703186,https://www.airbnb.com/rooms/4703186,,Central & Western,22.28035,114.15638,2,$180.00,,,,,
4712476,https://www.airbnb.com/rooms/4712476,,Central & Western,22.28628,114.14906,2,$180.00,,,,,
4712684,https://www.airbnb.com/rooms/4712684,,Central & Western,22.28576,114.14928,1,$180.00,,,,,
4724498,https://www.airbnb.com/rooms/4724498,"Yau Ma Tei, Jordon, Austin, Hong Kong Island, Hong Kong",Yau Tsim Mong,22.30679,114.16659,1,$350.00,4.79,4.83,4.86,4.92,4.94
4724533,https://www.airbnb.com/rooms/4724533,"Yau Ma Tei, 九龍, Hong Kong",Yau Tsim Mong,22.306791305541992,114.16658782958984,2,$600.00,4.74,4.76,4.79,4.8,4.89
4724552,https://www.airbnb.com/rooms/4724552,"Tsim Sha Tsui, Jordan, Austin, Kowloon, Hong Kong",Yau Tsim Mong,22.30679,114.16659,2,$480.00,4.77,4.83,4.78,4.84,4.94
4730498,https://www.airbnb.com/rooms/4730498,"Sai Ying Pun, Central and Western District, Hong Kong",Central & Western,22.28626,114.13514,4,$799.00,4.82,4.79,4.89,4.94,4.97
4751714,https://www.airbnb.com/rooms/4751714,"Hong Kong, kowloon, Hong Kong",Yau Tsim Mong,22.30841,114.16773,3,$531.00,4.57,4.78,4.68,4.65,4.76
4763087,https://www.airbnb.com/rooms/4763087,,Yau Tsim Mong,22.31988,114.1706,3,$238.00,4.56,4.82,4.45,4.58,4.72
4774928,https://www.airbnb.com/rooms/4774928,,Yuen Long,22.4416,114.06194,5,$300.00,,,,,
4797773,https://www.airbnb.com/rooms/4797773,"Kowloon, Jordan, Yau Ma Tei, Tsim Sha Tsui, Austin, Kowloon, Hong Kong",Yau Tsim Mong,22.306791305541992,114.16658782958984,2,$600.00,4.75,4.8,4.8,4.84,4.9
4798868,https://www.airbnb.com/rooms/4798868,,Yau Tsim Mong,22.3199,114.17053,2,$238.00,4.43,4.65,4.4,4.58,4.63
4811467,https://www.airbnb.com/rooms/4811467,,Yau Tsim Mong,22.32002,114.17056,3,$261.00,4.51,4.79,4.28,4.63,4.59
4834521,https://www.airbnb.com/rooms/4834521,,Yau Tsim Mong,22.31988,114.17053,2,$240.00,4.4,4.69,4.16,4.35,4.29
4841805,https://www.airbnb.com/rooms/4841805,,Yau Tsim Mong,22.31986,114.17053,4,$299.00,4.54,4.77,4.38,4.67,4.53
4849950,https://www.airbnb.com/rooms/4849950,,Central & Western,22.27776,114.15474,3,"$3,000.00",,,,,
4856303,https://www.airbnb.com/rooms/4856303,"香港香港, 香港 九龍 Kowloon, Hong Kong",Yau Tsim Mong,22.3199,114.17055,2,$240.00,4.42,4.75,4.17,4.58,4.53
