,room_type, bathrooms_text ,bedrooms,price
1959,Shared room, 1 shared bath ,1,150
1960,Private room, 1 private bath ,1,479
1961,Shared room, 1 shared bath ,1,180
1962,Private room, 1 private bath ,1,1400
1963,Entire home/apt, 2 baths ,2,2300
1964,Private room, 1 shared bath ,1,180
1965,Private room, 1 shared bath ,1,180
1966,Entire home/apt, 2 baths ,3,2086
1967,Entire home/apt, 1 bath ,1,500
1968,Entire home/apt, 1 bath ,1,500
1969,Private room, 1 shared bath ,1,180
1970,Private room, 1 shared bath ,1,180
1971,Private room, 1 shared bath ,1,180
1972,Private room, 1 shared bath ,1,180
1973,Private room, 1 bath ,1,246
1974,Shared room, 1 shared bath ,1,180
1975,Entire home/apt, 1 bath ,1,500
1976,Shared room, 1 shared bath ,1,180
1977,Private room, 1 private bath ,1,550
1978,Private room, 1 private bath ,1,400
1979,Private room, 1 private bath ,1,220
1980,Private room, 1 private bath ,1,570
1981,Private room, 1 private bath ,1,250
1982,Private room, 1.5 baths ,1,220
1983,Private room, 1 private bath ,1,250
1984,Shared room, 1 shared bath ,1,180
1985,Shared room, 1 shared bath ,1,180
1986,Private room, 1 shared bath ,2,650
1987,Shared room, 1 shared bath ,1,180
1988,Private room, 1.5 baths ,1,717
1989,Entire home/apt, 1 bath ,1,685
1990,Shared room, 1 shared bath ,1,180
1991,Entire home/apt, 1 bath ,1,995
1992,Entire home/apt, 2 baths ,2,885
1993,Private room, 1 bath ,1,180
1994,Shared room, 2 shared baths ,1,180
1995,Private room, 1 shared bath ,1,180
1996,Private room, 1 private bath ,1,228
1997,Private room, 1 private bath ,1,228
1998,Private room, 1 private bath ,1,228
1999,Private room, 1 private bath ,1,348
2000,Private room, 1 bath ,1,180
2001,Private room, 1 private bath ,1,348
2002,Entire home/apt, 1 bath ,1,3000
2003,Entire home/apt, 1 bath ,3,3086
2004,Shared room, 1 shared bath ,1,180
2005,Private room, 1 bath ,1,223
2006,Hotel room, 1 bath ,1,154
2007,Private room, 1 shared bath ,1,180
2008,Private room, 1 shared bath ,1,180
2009,Shared room, 1 shared bath ,1,180
2010,Private room, 1 shared bath ,1,180
2011,Shared room, 1 shared bath ,1,180
