,id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication,average_rating,price_per_person,rating_category,price_level,price_range
151,6824049.0,https://www.airbnb.com/rooms/6824049,,Yau Tsim Mong,22.31651,114.17103,1,586,4.75,5.0,4.75,5.0,4.75,4.85,586.0,80,Level 5,"(580.0, 250260.0]"
152,6824136.0,https://www.airbnb.com/rooms/6824136,,Yau Tsim Mong,22.317,114.16975,3,414,4.0,4.67,4.33,4.67,4.33,4.4,138.0,40,Level 2,"(120.0, 191.75]"
153,6850615.0,https://www.airbnb.com/rooms/6850615,"Wanchai,, Hong Kong Island,, Hong Kong",Wan Chai,22.27346,114.17567,3,935,4.67,5.0,4.95,4.83,4.94,4.878000000000001,311.67,100,Level 3,"(191.75, 360.625]"
154,6865394.0,https://www.airbnb.com/rooms/6865394,"Kowloon, Hong Kong",Yau Tsim Mong,22.32218,114.17034,8,1343,4.77,4.85,4.82,4.84,4.89,4.8340000000000005,167.88,80,Level 2,"(120.0, 191.75]"
155,6988384.0,https://www.airbnb.com/rooms/6988384,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.28267,114.15224,2,281,4.6,4.86,4.59,4.59,4.87,4.702,140.5,60,Level 2,"(120.0, 191.75]"
156,7094585.0,https://www.airbnb.com/rooms/7094585,,Central & Western,22.28428,114.15273,2,594,4.36,4.73,4.36,4.18,4.55,4.436,297.0,40,Level 3,"(191.75, 360.625]"
157,7117981.0,https://www.airbnb.com/rooms/7117981,"旺角, 九龍, Hong Kong",Yau Tsim Mong,22.31676,114.16967,2,423,4.64,4.9,4.59,4.67,4.77,4.7139999999999995,211.5,60,Level 3,"(191.75, 360.625]"
158,7142866.0,https://www.airbnb.com/rooms/7142866,"SAI YING PUN, Hong kong, Hong Kong",Central & Western,22.28577,114.1417,2,380,4.35,4.61,4.39,4.35,4.65,4.470000000000001,190.0,40,Level 2,"(120.0, 191.75]"
159,7143094.0,https://www.airbnb.com/rooms/7143094,"SAI YING PUN, Hong Kong Island, Hong Kong",Central & Western,22.28877,114.14212,2,402,4.74,4.94,4.74,4.71,4.88,4.802,201.0,80,Level 3,"(191.75, 360.625]"
160,7143198.0,https://www.airbnb.com/rooms/7143198,"SAI YING PUN, Hong kong, Hong Kong",Central & Western,22.28875,114.14375,2,446,4.77,4.73,4.7,4.65,4.87,4.744000000000001,223.0,80,Level 3,"(191.75, 360.625]"
161,7182089.0,https://www.airbnb.com/rooms/7182089,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,22.27476,114.16849,2,899,4.82,4.92,4.9,4.94,4.94,4.904000000000001,449.5,100,Level 4,"(360.625, 580.0]"
162,7186750.0,https://www.airbnb.com/rooms/7186750,"旺角, 九龍, Hong Kong",Yau Tsim Mong,22.31681,114.16968,2,664,4.57,4.79,4.53,4.55,4.79,4.646,332.0,60,Level 3,"(191.75, 360.625]"
163,7186978.0,https://www.airbnb.com/rooms/7186978,,Yau Tsim Mong,22.29819,114.17233,2,514,4.74,4.97,4.74,4.82,4.77,4.808000000000001,257.0,80,Level 3,"(191.75, 360.625]"
