amenities,price,minnights
"[""Kitchen"", ""Hangers"", ""Gym"", ""Essentials"", ""Pool"", ""Elevator"", ""Washer"", ""TV"", ""Long term stays allowed"", ""Dryer"", ""Fire extinguisher"", ""Air conditioning"", ""Hot tub"", ""Iron"", ""Wifi""]","$1,800.00",120
"[""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Shampoo"", ""TV"", ""Dishes and silverware"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$390.00,120
"[""Hangers"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$270.00,119
"[""Long term stays allowed"", ""Elevator"", ""Shampoo"", ""Hair dryer"", ""Free street parking"", ""Refrigerator"", ""Dishes and silverware"", ""Kitchen"", ""Host greets you"", ""Smoking allowed"", ""Iron"", ""Cooking basics"", ""Hot water"", ""Paid parking off premises"", ""Essentials"", ""Washer"", ""TV"", ""Air conditioning"", ""Wifi"", ""Hangers"", ""Stove""]","$78,153.00",100
"[""Children\u2019s books and toys"", ""Paid parking on premises"", ""Self check-in"", ""Clothing storage"", ""First aid kit"", ""Children\u2019s dinnerware"", ""Long term stays allowed"", ""Elevator"", ""Shampoo"", ""Body soap"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Pocket wifi"", ""Room-darkening shades"", ""Free parking on premises"", ""Bed linens"", ""Free street parking"", ""Refrigerator"", ""Toaster"", ""Coffee maker"", ""Trash compactor"", ""Dishes and silverware"", ""Kitchen"", ""Coffee"", ""Microwave"", ""Exercise equipment"", ""Window guards"", ""Iron"", ""Sound system"", ""Crib"", ""Shower gel"", ""Table corner guards"", ""Heating"", ""Cooking basics"", ""Mini fridge"", ""Private patio or balcony"", ""Hot water kettle"", ""Books and reading material"", ""Hot water"", ""Babysitter recommendations"", ""Window AC unit"", ""Waterfront"", ""Freezer"", ""Paid parking off premises"", ""Single level home"", ""Essentials"", ""Washer"", ""TV"", ""Laundromat nearby"", ""Hammock"", ""Outdoor kitchen"", ""Pool"", ""Harbor view"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Free dryer \u2013 In unit"", ""Portable fans"", ""City skyline view"", ""Bidet"", ""Wifi"", ""Cleaning products"", ""Wine glasses"", ""Pets allowed"", ""Private entrance"", ""Ethernet connection"", ""Hangers"", ""Conditioner"", ""Dining table"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Keypad"", ""Extra pillows and blankets"", ""Baking sheet"", ""Stove""]","$1,288.00",100
"[""Paid parking on premises"", ""Private entrance"", ""Hot water"", ""Paid parking off premises"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Iron"", ""Wifi""]",$229.00,100
"[""Fire extinguisher"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Shampoo"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Wifi""]","$1,482.00",100
"[""Long term stays allowed"", ""Elevator"", ""Shampoo"", ""Beach access \u2013 Beachfront"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Free street parking"", ""Refrigerator"", ""Dishes and silverware"", ""Kitchen"", ""Window guards"", ""Smoking allowed"", ""Cooking basics"", ""Hot water"", ""Paid parking off premises"", ""Essentials"", ""Washer"", ""TV"", ""Cleaning available during stay"", ""Air conditioning"", ""Wifi"", ""Ethernet connection"", ""Hangers"", ""Fire extinguisher"", ""Stove""]","$22,329.00",100
"[""Private entrance"", ""Hangers"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""TV"", ""Private living room"", ""Dryer"", ""Fire extinguisher"", ""Air conditioning"", ""Wifi""]",$380.00,100
"[""Lock on bedroom door"", ""Long term stays allowed"", ""Elevator"", ""Washer"", ""Private living room"", ""Air conditioning"", ""Heating""]",$450.00,94
